diffCount, sameCount, overflowCount : overflow, diff+overflow, diff+safe+overflow ( clock ticks )
10000, 0, 0   : 136000, 70000, 70000
8000, 2000, 0 : 120000, 100000, 82000
6000, 4000, 0 : 102000, 102000, 98000
4000, 6000, 0 : 118000, 118000, 116000
2000, 8000, 0 : 134000, 134000, 134000
0, 10000, 0   : 150000, 150000, 154000
10000, 0, 0   : 72000, 68000, 70000
8000, 0, 2000 : 92000, 82000, 86000
6000, 0, 4000 : 104000, 100000, 102000
4000, 0, 6000 : 118000, 118000, 122000
2000, 0, 8000 : 134000, 134000, 140000
0, 0, 10000   : 148000, 150000, 160000
0, 10000, 0   : 148000, 150000, 148000
0, 8000, 2000 : 156000, 150000, 154000
0, 6000, 4000 : 148000, 150000, 154000
0, 4000, 6000 : 148000, 150000, 156000
0, 2000, 8000 : 148000, 150000, 154000
0, 0, 10000   : 150000, 150000, 160000
