run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
294,1000,blk_sde,69.0,0.0,1952.0,0.0,0.0,0.0
294,2000,blk_sde,138.0,0.0,4156.0,0.0,0.0,0.0
294,3000,blk_sde,65.0,0.0,3248.0,2.0,2.0,16.0
294,4000,blk_sde,84.0,0.0,2460.0,0.0,0.0,0.0
294,5000,blk_sde,56.0,0.0,2296.0,92.0,2025.0,8468.0
294,6000,blk_sde,67.0,0.0,2076.0,0.0,0.0,0.0
294,7000,blk_sde,47.0,0.0,1716.0,0.0,0.0,0.0
294,8000,blk_sde,22.0,0.0,692.0,2.0,5.0,28.0
294,9000,blk_sde,2.0,0.0,28.0,0.0,0.0,0.0
294,10000,blk_sde,8.0,0.0,48.0,3.0,0.0,12.0
294,11000,blk_sde,0.0,0.0,0.0,0.0,0.0,0.0
294,12000,blk_sde,24.0,0.0,676.0,0.0,0.0,0.0
294,13000,blk_sde,0.0,0.0,0.0,2.0,2.0,16.0
294,14000,blk_sde,21.0,0.0,524.0,0.0,0.0,0.0
294,15000,blk_sde,56.0,0.0,1196.0,0.0,0.0,0.0
294,16000,blk_sde,39.0,0.0,724.0,0.0,0.0,0.0
294,17000,blk_sde,33.0,0.0,700.0,0.0,0.0,0.0
294,18000,blk_sde,14.0,0.0,424.0,2.0,2.0,16.0
294,19000,blk_sde,51.0,0.0,824.0,0.0,0.0,0.0
294,20000,blk_sde,21.0,0.0,532.0,0.0,0.0,0.0
294,21000,blk_sde,32.0,0.0,796.0,0.0,0.0,0.0
294,22000,blk_sde,20.0,0.0,540.0,0.0,0.0,0.0
294,23000,blk_sde,21.0,0.0,308.0,2.0,2.0,16.0
294,24000,blk_sde,54.0,0.0,876.0,0.0,0.0,0.0
294,25000,blk_sde,24.0,0.0,916.0,0.0,0.0,0.0
294,26000,blk_sde,32.0,0.0,772.0,0.0,0.0,0.0
294,27000,blk_sde,0.0,0.0,0.0,0.0,0.0,0.0
294,28000,blk_sde,0.0,0.0,0.0,2.0,2.0,16.0
294,29000,blk_sde,12.0,0.0,412.0,0.0,0.0,0.0
294,30000,blk_sde,1.0,0.0,16.0,0.0,0.0,0.0
294,31000,blk_sde,9.0,0.0,120.0,0.0,0.0,0.0
294,32000,blk_sde,4.0,0.0,268.0,0.0,0.0,0.0
294,33000,blk_sde,18.0,0.0,352.0,0.0,0.0,0.0
294,34000,blk_sde,0.0,0.0,0.0,2.0,2.0,16.0
294,35000,blk_sde,13.0,0.0,416.0,112.0,632.0,2976.0
294,36000,blk_sde,3.0,0.0,116.0,0.0,0.0,0.0
294,37000,blk_sde,7.0,0.0,88.0,0.0,0.0,0.0
294,38000,blk_sde,1.0,0.0,56.0,0.0,0.0,0.0
294,39000,blk_sde,7.0,0.0,132.0,2.0,2.0,16.0
