run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
294,1000,net_em1,135485.0,66423.8369141,188113.0,149033.890625
294,2000,net_em1,171700.0,88685.8085938,206927.0,142312.392578
294,3000,net_em1,213309.0,142397.321289,237526.0,178025.779297
294,4000,net_em1,212986.0,143658.40625,219659.0,154888.680664
294,5000,net_em1,210522.0,140328.584961,206129.0,133279.337891
294,6000,net_em1,222894.0,150234.62793,242517.0,179896.823242
294,7000,net_em1,236602.0,193557.645508,214954.0,160073.447266
294,8000,net_em1,202351.0,136700.751953,213577.0,155243.728516
294,9000,net_em1,199919.0,142201.958008,203739.0,148076.655273
294,10000,net_em1,48889.0,40545.5341797,45398.0,34871.5507812
294,11000,net_em1,18783.0,12394.1269531,18572.0,11867.0947266
294,12000,net_em1,47428.0,35562.1806641,42632.0,27278.9921875
294,13000,net_em1,81821.0,56599.4960938,67874.0,34336.9648438
294,14000,net_em1,17731.0,15354.9785156,17266.0,14759.1113281
294,15000,net_em1,82296.0,38338.3310547,89228.0,49899.1123047
294,16000,net_em1,188849.0,116884.303711,195405.0,126771.011719
294,17000,net_em1,235219.0,169617.019531,234213.0,167842.216797
294,18000,net_em1,229786.0,150156.87793,241767.0,168991.469727
294,19000,net_em1,203875.0,144006.676758,224844.0,175929.813477
294,20000,net_em1,151907.0,85620.6601562,166534.0,108162.233398
294,21000,net_em1,233629.0,161717.405273,228084.0,153261.132812
294,22000,net_em1,249333.0,174308.956055,250351.0,176504.22168
294,23000,net_em1,221919.0,165115.831055,199591.0,130045.027344
294,24000,net_em1,216459.0,151403.779297,218614.0,154565.96875
294,25000,net_em1,192094.0,117636.488281,204534.0,136980.016602
294,26000,net_em1,228315.0,157222.151367,244589.0,182749.210938
294,27000,net_em1,267756.0,216892.419922,241790.0,177156.350586
294,28000,net_em1,159861.0,120630.328125,150796.0,106853.81543
294,29000,net_em1,25896.0,16547.8613281,24421.0,14872.8642578
294,30000,net_em1,84085.0,46380.9492188,81437.0,41536.9482422
294,31000,net_em1,6596.0,1765.15527344,6671.0,1633.90136719
294,32000,net_em1,53156.0,43932.8251953,53079.0,43362.7675781
294,33000,net_em1,109436.0,63925.9882812,116066.0,75067.6962891
294,34000,net_em1,30567.0,17840.4228516,37767.0,29144.7373047
294,35000,net_em1,12899.0,3345.86230469,12762.0,2978.66796875
294,36000,net_em1,151406.0,133882.535156,140706.0,116995.983398
294,37000,net_em1,94798.0,68397.3935547,95245.0,68617.46875
294,38000,net_em1,17596.0,4702.05761719,18723.0,6500.79296875
294,39000,net_em1,54636.0,32574.8769531,51070.0,27019.6083984
294,40000,net_em1,109034.0,94346.6572266,93600.0,70332.5039062
294,41000,net_em1,4056.0,908.08203125,4161.0,1168.34960938
294,42000,net_em1,8.0,0.5703125,4.0,1.25
294,43000,net_em1,232912.0,168911.34375,212245.0,137984.43457
294,44000,net_em1,250503.0,182298.567383,256976.0,192630.133789
294,45000,net_em1,190793.0,121081.575195,205011.0,141777.547852
294,46000,net_em1,247090.0,176610.764648,236920.0,161136.171875
294,47000,net_em1,217332.0,131645.078125,213740.0,126548.466797
294,48000,net_em1,222061.0,155764.539062,219352.0,151767.728516
294,49000,net_em1,234011.0,158352.400391,253534.0,189920.296875
294,50000,net_em1,225655.0,148617.367188,227916.0,152397.898438
294,51000,net_em1,255968.0,181531.941406,233300.0,147463.256836
294,52000,net_em1,217970.0,142158.710938,218166.0,142390.686523
294,53000,net_em1,199336.0,147861.491211,186492.0,127921.311523
294,54000,net_em1,86747.0,78573.1875,90283.0,83975.5585938
294,55000,net_em1,106092.0,67116.7744141,96306.0,51650.1386719
294,56000,net_em1,223916.0,132978.347656,240494.0,160038.119141
294,57000,net_em1,239215.0,160291.089844,248757.0,177351.624023
294,58000,net_em1,232990.0,148327.142578,249265.0,174328.385742
294,59000,net_em1,168612.0,108684.945312,182886.0,130390.40625
294,60000,net_em1,227598.0,165111.924805,208495.0,136254.749023
294,61000,net_em1,235034.0,154872.041992,249919.0,177806.833008
294,62000,net_em1,233883.0,154756.078125,243770.0,170559.889648
294,63000,net_em1,255529.0,183928.322266,251370.0,178797.807617
294,64000,net_em1,215185.0,132228.976562,224912.0,146573.128906
294,65000,net_em1,228352.0,144948.330078,242432.0,167054.097656
294,66000,net_em1,215948.0,136972.272461,217031.0,138134.737305
294,67000,net_em1,233378.0,156885.365234,249667.0,182388.157227
294,68000,net_em1,263035.0,192564.009766,266536.0,199440.570312
294,69000,net_em1,243963.0,171150.632812,236448.0,159756.342773
294,70000,net_em1,176513.0,106803.901367,192578.0,131196.454102
294,71000,net_em1,271627.0,211333.572266,266831.0,204256.974609
294,72000,net_em1,246259.0,175260.198242,244124.0,172711.21582
294,73000,net_em1,208208.0,122496.344727,223945.0,146465.600586
294,74000,net_em1,23172.0,6356.81738281,28318.0,14430.0087891
294,75000,net_em1,27589.0,17469.1582031,25788.0,14617.3564453
294,76000,net_em1,244032.0,165142.4375,248011.0,172769.204102
294,77000,net_em1,253217.0,187083.505859,241365.0,169386.291992
294,78000,net_em1,207516.0,118587.595703,214267.0,129332.482422
294,79000,net_em1,251955.0,174584.541016,248270.0,169956.842773
294,80000,net_em1,224621.0,149415.767578,232648.0,161304.249023
294,81000,net_em1,232436.0,160179.87793,238983.0,169803.982422
294,82000,net_em1,220056.0,137963.503906,226317.0,146684.228516
294,83000,net_em1,274835.0,214812.834961,248112.0,174391.545898
294,84000,net_em1,248409.0,177837.422852,239452.0,164238.239258
294,85000,net_em1,27979.0,12146.9013672,25630.0,9115.49023438
294,86000,net_em1,195439.0,140906.77832,192109.0,136467.147461
294,87000,net_em1,226446.0,142751.855469,235115.0,157316.705078
294,88000,net_em1,257974.0,193047.421875,256198.0,189925.365234
294,89000,net_em1,243229.0,172604.336914,256488.0,193698.749023
294,90000,net_em1,208656.0,144799.235352,213166.0,151302.376953
294,91000,net_em1,241056.0,179826.845703,239110.0,176642.298828
294,92000,net_em1,229591.0,155426.776367,239189.0,171230.617188
294,93000,net_em1,243306.0,170794.608398,241964.0,169175.658203
294,94000,net_em1,251065.0,181795.15918,268601.0,208307.554688
294,95000,net_em1,96989.0,51284.7265625,99119.0,53550.6875
294,96000,net_em1,232590.0,163761.368164,219581.0,143539.378906
294,97000,net_em1,265158.0,194980.538086,264927.0,196198.513672
294,98000,net_em1,259378.0,192425.134766,249621.0,177109.140625
294,99000,net_em1,238076.0,160830.892578,249577.0,179072.013672
294,100000,net_em1,167330.0,110415.232422,181320.0,131721.916016
294,101000,net_em1,242078.0,167936.488281,244613.0,172490.245117
294,102000,net_em1,262465.0,190796.110352,272006.0,205908.926758
294,103000,net_em1,224782.0,140660.643555,237865.0,161544.477539
294,104000,net_em1,237582.0,156579.464844,251265.0,177800.149414
294,105000,net_em1,240297.0,194258.545898,232292.0,180573.306641
294,106000,net_em1,264182.0,201618.641602,250016.0,180181.879883
294,107000,net_em1,230215.0,153081.152344,243935.0,174708.863281
294,108000,net_em1,239365.0,167159.168945,242885.0,172208.808594
294,109000,net_em1,242226.0,170057.145508,249107.0,179838.139648
294,110000,net_em1,235632.0,153521.568359,253032.0,180482.144531
294,111000,net_em1,229888.0,153200.165039,227270.0,149634.405273
294,112000,net_em1,248975.0,177655.150391,269316.0,208218.983398
294,113000,net_em1,237994.0,168943.671875,236991.0,167277.545898
294,114000,net_em1,266224.0,203754.317383,276241.0,219596.552734
294,115000,net_em1,245742.0,175936.227539,250509.0,182584.859375
294,116000,net_em1,241897.0,163006.135742,267946.0,203155.164062
294,117000,net_em1,224588.0,147912.764648,233516.0,161641.895508
294,118000,net_em1,224331.0,146177.904297,223021.0,144198.753906
294,119000,net_em1,247297.0,183128.998047,241716.0,173504.701172
294,120000,net_em1,218268.0,144607.549805,229077.0,160223.40332
294,121000,net_em1,215236.0,124689.277344,234743.0,155481.961914
294,122000,net_em1,309170.0,269347.642578,278713.0,222597.148438
294,123000,net_em1,242864.0,163204.327148,249010.0,172811.025391
294,124000,net_em1,258726.0,185081.041016,260905.0,189055.401367
294,125000,net_em1,269804.0,202724.994141,260992.0,189561.421875
294,126000,net_em1,199767.0,121870.788086,219115.0,151804.211914
294,127000,net_em1,245071.0,173830.368164,255982.0,191227.09375
294,128000,net_em1,236584.0,155776.34375,237863.0,157592.222656
294,129000,net_em1,233761.0,156735.201172,260309.0,197940.670898
294,130000,net_em1,251742.0,183706.092773,233218.0,156445.402344
294,131000,net_em1,261472.0,195128.026367,248497.0,175938.295898
294,132000,net_em1,237336.0,157718.311523,254146.0,183826.803711
294,133000,net_em1,225487.0,141036.802734,239197.0,162170.941406
294,134000,net_em1,278773.0,214741.915039,237829.0,153316.193359
294,135000,net_em1,128780.0,87638.2207031,121563.0,76353.2148438
294,136000,net_em1,219618.0,144614.999023,222308.0,149165.023438
294,137000,net_em1,269041.0,203281.924805,283067.0,226626.500977
294,138000,net_em1,272761.0,211588.938477,270226.0,208903.914062
294,139000,net_em1,231494.0,149911.924805,246859.0,173278.410156
294,140000,net_em1,233409.0,154546.723633,257058.0,191762.74707
294,141000,net_em1,235026.0,158525.898438,238651.0,164249.677734
294,142000,net_em1,258706.0,187788.421875,264781.0,198135.567383
294,143000,net_em1,237967.0,156733.636719,255267.0,184093.525391
294,144000,net_em1,237742.0,150480.776367,248762.0,167914.492188
294,145000,net_em1,250064.0,175342.913086,247427.0,172542.027344
294,146000,net_em1,264413.0,191737.466797,253636.0,177054.666992
294,147000,net_em1,241575.0,164828.053711,234580.0,155748.231445
294,148000,net_em1,244296.0,161526.794922,231949.0,143374.508789
294,149000,net_em1,238459.0,161533.305664,256569.0,190075.973633
294,150000,net_em1,258990.0,194042.010742,230350.0,151005.984375
294,151000,net_em1,253056.0,180836.777344,244178.0,168765.496094
294,152000,net_em1,232815.0,151828.884766,241685.0,165392.268555
294,153000,net_em1,253380.0,183293.03418,257471.0,189466.829102
294,154000,net_em1,250905.0,181264.990234,244440.0,171669.37207
294,155000,net_em1,228165.0,147417.833008,232413.0,154323.361328
294,156000,net_em1,229388.0,159396.841797,228328.0,157330.536133
294,157000,net_em1,236242.0,156867.290039,248624.0,176594.22168
294,158000,net_em1,235402.0,160294.78418,234041.0,157894.980469
294,159000,net_em1,243997.0,162641.03418,258560.0,185316.401367
294,160000,net_em1,234621.0,158362.511719,234687.0,157821.998047
